;Données Flux données API;;;;;;Données SFD;;;;;
/securite;securite;;;X;sECNomenclatureIcpePrincipal;;securite;;;identifiant_unique_nomenclature_icpe_principal (SEC_nomenclature_icpe_principal);;
/securite;securite;;;X;sECNomenclatureIcpeCumulA;;securite;;;identifiant_unique_nomenclature_icpe_cumul_a (SEC_nomenclature_icpe_cumul_a);;
/securite;securite;;;X;sECNomenclatureIcpeCumulB;;securite;;;identifiant_unique_nomenclature_icpe_cumul_b (SEC_nomenclature_icpe_cumul_b);;
/securite;securite;;;X;sECNomenclatureIcpeCumulC;;securite;;;identifiant_unique_nomenclature_icpe_cumul_c (SEC_nomenclature_icpe_cumul_c);;
/securite;securite;;;X;sECMentionAvertissement;;securite;;;identifiant_unique_mention_avertissement (SEC_mention_avertissement);;
/securite;securite;;;;libelleSubstanceNomTechnique;;securite;;;libelle_substance_nom_technique;;
/securite;securite;;;;indicateurQuantiteLimitee;;securite;;;indicateur_quantite_limitee;;
/securite;securite;;;;marinePolluant;;securite;;;marine_polluant;;
/securite;securite;;;;quantiteMatiereDangereuse;;securite;;;quantite_matiere_dangereuse;;
/securite;securite;;;X;sECUniteMesureMatiereDangereuse;;securite;;;um_matiere_dangereuse (SEC_unite_mesure_matiere_dangereuse);;
/securite;securite;;;;emballageExterieur;;securite;;;emballage_exterieur;;
/securite;securite;;;;libelleEmballageExterieur;;securite;;;libelle_emballage_exterieur;;
/securite;securite;;;;typeInner;;securite;;;type_inner;;
/securite;securite;;;;libelleTypeInner;;securite;;;libelle_type_inner;;
/securite;securite;;;;urlMaquetteAPlat;;securite;;;url_maquette_a_plat;;
/securite;securite;;;X;sECEntite;;securite;;;proprietaire (SEC_entite);;
/securite;securite;;;;dateCreation;;securite;;;date_creation;;
/securite;securite;;;;dateMaj;;securite;;;date_maj;;
/securite;securite;;transport;;identifiantUniqueTransport;;securite;;transport;identifiant_unique_transport;;
/securite;securite;;transport;X;sECTypeClasseDanger;;securite;;transport;identifiant_unique_classes_danger_transport (SEC_type_classe_danger);;
/securite;securite;;mentionDanger;;identifiantUniqueMentionDanger;;securite;;mention_danger;identifiant_unique_mention_danger;;
/securite;securite;;mentionDanger;X;sECMentionDanger;;securite;;mention_danger;mention_danger (SEC_mention_danger);;
/securite;securite;;organismeReglementaire;;identifiantUniqueOrganismeReglementation;;securite;;organisme_reglementaire;identifiant_unique_organisme_reglementation;;
/securite;securite;;organismeReglementaire;X;sECOrganismeReglementaire;;securite;;organisme_reglementaire;identifiant_unique_organisme_reglementaaire (SEC_organisme_reglementaire);;
/securite;securite;;danger;;identifiantUniqueDanger;;securite;;danger;identifiant_unique_danger;;
/securite;securite;;danger;X;sECClasseDanger;;securite;;danger;identifiant_unique_classe_danger (SEC_classe_danger);;
/chainage;chainage;;;;identifiantUniqueChainage;;chainage;;;identifiant_unique_chainage;;
/chainage;chainage;;;X;cHAINETypeDeChainage;;chainage;;;type_chainage (CHAINE_type_de_chainage);;
/chainage;chainage;;;X;cHAINEStatutDeValidationChainage;;chainage;;;Statut de validation du Marché (CHAINE_statut_de_validation_chainage);;
/chainage;chainage;;;;identifiantUniqueUcSource;;chainage;;;identidfiant_unique_uc_source;;
/chainage;chainage;;;;identifiantUniqueUcCible;;chainage;;;identifiant_unique_uc_cible;;
/chainage;chainage;;;X;cHAINEEntiteSourceSaisie;;chainage;;;source de la saisie (CHAINE_entite_source_saisie);;
/chainage;chainage;;;;dateDebutValidite;;chainage;;;date_debut_validite;;
/chainage;chainage;;;;dateFinValidite;;chainage;;;date_fin_validite;;
/chainage;chainage;;;;priorite;;chainage;;;Priorite;;
/chainage;chainage;;;;coefficientRepartition;;chainage;;;coefficient_repartition;;
/chainage;chainage;;;;coefficientComparaison;;chainage;;;coefficient_comparaison;;
/chainage;chainage;;;X;cHAINEEntite;;chainage;;;proprietaire (CHAINE_entite);;
/chainage;chainage;;;;dateCreation;;chainage;;;date_creation;;
/chainage;chainage;;;;dateMaj;;chainage;;;date_maj;;
/article;article;;;;identifiantUniqueArticle;;article;;;identifiant_unique_article;;
/article;article;;;;identifiantUniqueFournisseurFiliere;;article;;;identifiant_unique_fournisseur_filiere;;
/article;article;;;;identifiantUniqueProduitLogistiqueIdentification;;article;;;identifiant_unique_produit_logistique_identification;;
/article;article;;;;identifiantUniqueProduitInfoAchatSpecificiteMarcheTailleCo;;article;;;identifiant_unique_produit_info_achat_specificite_marche_taille_co;;
/article;article;;;;identifiantUniqueInfoAchatProvenance;;article;;;identifiant_unique_info_achat_provenance;;
/article;article;;;;identifiantUniqueInfoVenteInformationMagasinVarianteMarketing;;article;;;identifiant_unique_info_vente_information_magasin_variante_marketing;;
/article;article;;;;identifiantUniqueInfoVenteSpecificiteMarcheFruitLegume;;article;;;identifiant_unique_info_vente_specificite_marche_fruit_legume;;
/article;article;;;;identifiantUniqueLogistiqueVariante;;article;;;identifiant_unique_logistique_variante;;
/article;article;;;X;aRTEntite;;article;;;proprietaire (ART_entite);;
/article;article;;;;dateCreation;;article;;;date_creation;;
/article;article;;;;dateMaj;;article;;;date_maj;;
/article;article;;travailleAvec;;identifiantUniqueTravailleAvec;;article;;travaille_avec;identifiant_unique_travaille_avec;;
/article;article;;travailleAvec;X;aRTEntiteSelection;;article;;travaille_avec;entite_selection (ART_entite_selection);;
/article;article;;travailleAvec;;flagTravailleAvec;;article;;travaille_avec;flag_travaille_avec;;
/article;article;;travailleAvec;;dateDebut;;article;;travaille_avec;date_debut;;
/article;article;;travailleAvec;;dateFin;;article;;travaille_avec;date_fin;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueArticleBox;;article_type_box;;;identifiant_unique_article_box;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueFournisseurFiliere;;article_type_box;;;identifiant_unique_fournisseur_filiere;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueProduitLogistiqueIdentificationUl1;;article_type_box;;;identifiant_unique_produit_logistique_identification_ul1;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueProduitLogistiqueIdentificationUl2;;article_type_box;;;identifiant_unique_produit_logistique_identification_ul2;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueProduitInfoAchatSpecificiteMarcheTailleCo;;article_type_box;;;identifiant_unique_produit_info_achat_specificite_marche_taille_co;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueInfoAchatProvenance;;article_type_box;;;identifiant_unique_info_achat_provenance;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueInfoVenteInformationMagasinVarianteMarketing;;article_type_box;;;identifiant_unique_info_vente_information_magasin_variante_marketing;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueInfoVenteSpecificiteMarcheFruitLegume;;article_type_box;;;identifiant_unique_info_vente_specificite_marche_fruit_legume;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;identifiantUniqueLogistiqueVariante;;article_type_box;;;identifiant_unique_logistique_variante;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;X;aRTTBEntite;;article_type_box;;;proprietaire (ARTTB_entite);;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;dateCreation;;article_type_box;;;date_creation;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;;;dateMaj;;article_type_box;;;date_maj;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;travailleAvec;;identifiantUniqueTravailleAvec;;article_type_box;;travaille_avec;identifiant_unique_travaille_avec;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;travailleAvec;X;aRTTBEntiteSelection;;article_type_box;;travaille_avec;entite_selection (ARTTB_entite_selection);;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;travailleAvec;;flagTravailleAvec;;article_type_box;;travaille_avec;flag_travaille_avec;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;travailleAvec;;dateDebut;;article_type_box;;travaille_avec;date_debut;;
/logistiqueIdentification/articleTypeBox;articleTypeBox;;travailleAvec;;dateFin;;article_type_box;;travaille_avec;date_fin;;
